timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp
2025-07-02T17:56:04.467772,43.0,3628.0,56.0,87.0,-2.5,51.0,88.0,67.84,-5.8382131,-35.2092537,-0.3960121572017669,-1.5517455339431765,9.285347938537598,normal,False,0.3120180000451,gasolina,[0.01 0.99],46.051943999941614,0.0001110000766857,False,Rodovia,[0.49 0.51],162.10936899994977,1743.4452867818254,1.9024999999999996,1743.4452867818254,10.377650516558484,A,28.5,6151.860000000001,63.1
2025-07-02T17:56:08.104996,43.0,3628.0,56.0,87.0,2.0,51.0,88.0,67.84,-5.8382131,-35.2092537,0.5682953596115112,-1.5553346872329712,9.631709098815918,normal,False,0.099554999906104,gasolina,[0.01 0.99],64.06468000000132,0.0001669999392106,False,Rodovia,[0.47 0.53],171.7296919999853,1995.5096655936552,1.914444444444444,1995.5096655936552,11.807749500554172,A,28.5,6151.860000000001,66.4
2025-07-02T17:56:11.591698,43.0,3628.0,56.0,87.0,2.0,51.0,88.0,67.84,-5.8382131,-35.2092537,2.068595170974731,-1.8652052879333496,9.644271850585938,normal,False,0.1006300000199189,gasolina,[0.01 0.99],46.44792500005224,0.0001110000766857,False,Rodovia,[0.43 0.57],174.65437900000325,1995.5096655936552,1.9263888888888887,1995.5096655936552,11.738292150550912,A,28.5,6151.860000000001,63.1
2025-07-02T17:56:15.068011,55.0,2651.0,42.0,89.0,2.0,51.0,88.0,67.84,-5.8382131,-35.2092537,4.4344987869262695,-2.562114953994751,9.614361763000488,normal,False,0.141093000024739,gasolina,[0.01 0.99],46.4474440000231,0.0001109999629989,False,Rodovia,[0.34 0.66],170.7035059999953,3493.056579549253,1.9416666666666664,3493.056579549253,20.427231459352356,A,28.5,5553.735000000001,60.9
2025-07-02T17:56:19.080909,55.0,2651.0,42.0,89.0,2.0,51.0,33.0,67.84,-5.8382131,-35.2092537,5.281557559967041,-2.294118642807007,9.505488395690918,normal,False,0.2786669999750302,gasolina,[0.01 0.99],263.34580100001403,0.0001109999629989,False,Cidade,[0.51 0.49],356.92724600005477,3493.056579549253,1.956944444444444,3493.056579549253,20.308468485751472,A,28.5,2886.235,69.2
2025-07-02T17:56:22.469998,55.0,2651.0,42.0,89.0,0.0,51.0,33.0,67.84,-5.8382429,-35.2095266,5.5932230949401855,-2.014756679534912,9.097511291503906,normal,False,0.2242780000187849,gasolina,[0.01 0.99],45.16068399993856,0.0001109999629989,False,Cidade,[0.52 0.48],156.44403100009183,4832.061601709801,1.972222222222222,4832.061601709801,27.930991917397694,A,28.5,2886.235,63.7
2025-07-02T17:56:25.907389,55.0,2651.0,42.0,89.0,0.0,51.0,33.0,67.84,-5.8382429,-35.2095266,3.895515203475952,-1.545763373374939,9.166305541992188,normal,False,0.0929629999291137,gasolina,[0.01 0.99],41.78475599997,0.0001109999629989,False,Cidade,[0.52 0.48],164.43642699994143,4832.061601709801,1.9874999999999996,4832.061601709801,27.77046897534368,A,28.5,2886.235,62.0
2025-07-02T17:56:29.492087,60.0,2108.0,17.0,89.0,0.0,51.0,33.0,67.84,-5.8382429,-35.2095266,1.0163514614105225,-2.709871530532837,8.96530818939209,cautious,False,0.0976110000010521,gasolina,[0. 1.],53.68344999999408,0.0001480000264564,True,Rodovia,[0.45 0.55],165.93987199996718,6629.185081662592,2.0041666666666664,6629.185081662592,37.88105760950052,A,28.5,2082.08,65.9
2025-07-02T17:56:32.913987,60.0,2108.0,17.0,90.0,0.0,51.0,22.0,67.84,-5.8382429,-35.2095266,0.367298275232315,-2.643470764160156,9.263813018798828,cautious,False,0.096165999934783,gasolina,[0. 1.],46.6729250000526,0.0001299999894399,True,Rodovia,[0.33 0.67],168.50985600001422,6629.185081662592,2.020833333333333,6629.185081662592,37.66582432762837,A,28.5,1658.58,63.1
2025-07-02T17:56:36.377266,60.0,2108.0,17.0,90.0,-2.5,51.0,22.0,67.84,-5.8382429,-35.2095266,0.057427741587162,-1.9106688499450684,8.773283958435059,cautious,False,0.0892589999921256,gasolina,[0. 1.],48.258241999974416,0.0001120000661103,True,Rodovia,[0.49 0.51],167.07200199994077,6520.509916389435,2.0374999999999996,6520.509916389435,36.839039075646525,A,28.5,1658.58,63.7
