,data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
13499,2023-10-09,07:10:00,405.0,3,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.19390626,-37.38187378
13501,2023-10-09,22:30:00,304.0,77,MOSSORO,Tombamento,Com Vítimas Feridas,-5.451587,-37.18655
13504,2023-10-09,22:30:00,304.0,77,MOSSORO,Saída de leito carroçável,Com Vítimas Feridas,-5.451587,-37.18655
13507,2023-10-10,05:35:00,101.0,73,EXTREMOZ,Colisão transversal,Com Vítimas Fatais,-5.706872,-35.266884
13509,2023-10-10,09:35:00,101.0,94,NATAL,Engavetamento,Sem Vítimas,-5.83176615,-35.21191342
13515,2023-10-10,10:10:00,101.0,94,NATAL,Colisão traseira,Sem Vítimas,-5.83176615,-35.21191342
13521,2023-10-10,13:50:00,101.0,95,NATAL,Colisão traseira,Sem Vítimas,-5.840768,-35.210358
13525,2023-10-11,18:00:00,101.0,97,NATAL,Colisão traseira,Com Vítimas Feridas,-5.857612,-35.212723
13528,2023-10-12,20:30:00,406.0,138,TAIPU,Colisão lateral sentido oposto,Com Vítimas Feridas,-5.653615,-35.53955
13553,2023-10-13,17:15:00,101.0,78,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.740798,-35.290199
13554,2023-10-14,07:30:00,101.0,129,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.112119,-35.233627
13556,2023-10-14,11:30:00,101.0,103,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.89034022,-35.24894996
13558,2023-10-14,11:30:00,101.0,103,PARNAMIRIM,Colisão traseira,Com Vítimas Feridas,-5.89034022,-35.24894996
13560,2023-10-14,13:30:00,101.0,125,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.07815599,-35.23412006
13563,2023-10-14,18:45:00,101.0,100,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Fatais,-5.88106901,-35.22542396
13565,2023-10-14,18:45:00,101.0,100,PARNAMIRIM,Colisão traseira,Com Vítimas Fatais,-5.88106901,-35.22542396
13567,2023-10-16,05:00:00,101.0,85,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.777664,-35.249371
13569,2023-10-16,05:00:00,101.0,85,NATAL,Tombamento,Com Vítimas Feridas,-5.777664,-35.249371
13571,2023-10-16,07:15:00,406.0,158,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.69942776,-35.38322468
13577,2023-10-16,07:15:00,406.0,158,CEARA-MIRIM,Tombamento,Com Vítimas Feridas,-5.69942776,-35.38322468
13583,2023-10-16,07:15:00,406.0,158,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.69942776,-35.38322468
13589,2023-10-16,17:05:00,101.0,101,PARNAMIRIM,Engavetamento,Sem Vítimas,-5.88681084,-35.23143404
13595,2023-10-17,07:41:00,101.0,112,SAO JOSE DE MIPIBU,Queda de ocupante de veículo,Com Vítimas Feridas,-5.9643,-35.264877
13597,2023-10-18,06:30:00,406.0,117,POCO BRANCO,Colisão traseira,Com Vítimas Feridas,-5.57560522,-35.69347206
